##"NA: Not annotated as a TF by FlyTF (Adryan and Teichmann 2006)"
Flybase ID,gene symbol,DBD family,gene symbol synonym,FlyTF final call,FlyTF score
FBgn0040305,MTF-1,zf-C2H2,,yes,1
FBgn0260789,mxc,AT_hook,,yes,6
FBgn0002914,Myb,Myb_DNA-binding,,yes,2
FBgn0002922,nau,Basic|HLH,,yes,5
FBgn0034650,NC2alpha,CBFA_NFYB_domain,,NA,NA
FBgn0028926,NC2beta,CBFA_NFYB_domain,,NA,NA
FBgn0028999,nerfin-1,zf-C2H2,,yes,6
FBgn0041105,nerfin-2,zf-C2H2,,yes,6
FBgn0002931,net,HLH,,yes,6
FBgn0037085,Neu2,zf-C2H2,,yes,6
FBgn0030505,NFAT,RHD|TIG,,yes,5
FBgn0042696,NfI,MH1,,yes,6
FBgn0035993,Nf-YA,CBFB_NFYA,,yes,6
FBgn0032816,Nf-YB,CBFA/NFYB_topo|CBFA_NFYB_domain,,yes,5
FBgn0029905,Nf-YC,CBFA_NFYB_domain,,yes,5
FBgn0024321,NK7.1,Homeobox,,yes,5
FBgn0005771,noc,zf-C2H2,,yes,6
FBgn0085424,nub,Homeobox|Pou,,yes,1
FBgn0033939,Oaz,zf-C2H2,,yes,6
FBgn0004102,oc,Homeobox,,yes,1
FBgn0002985,odd,zf-C2H2,,yes,4
FBgn0026058,OdsH,Homeobox,,yes,5
FBgn0032651,Oli,HLH,,yes,6
FBgn0028996,onecut,CUT|Homeobox,,yes,1
FBgn0003002,opa,zf-C2H2,,yes,6
FBgn0050443,Opbp,zf-C2H2,,yes,6
FBgn0025360,Optix,Homeobox,,yes,1
FBgn0021767,org-1,T-box,,yes,3
FBgn0003013,osa,ARID,,yes,5
FBgn0015524,otp,Homeobox,,yes,5
FBgn0003028,ovo,zf-C2H2,,yes,1
FBgn0039044,p53,P53,,yes,1
FBgn0038418,pad,zf-C2H2,,yes,6
FBgn0085432,pan,HMG_box,,yes,1
FBgn0051481,pb,Homeobox,,yes,1
FBgn0004394,pdm2,Homeobox|Pou,,yes,1
FBgn0033288,pdm3,Homeobox|Pou,,yes,6
FBgn0016694,Pdp1,bZIP,,yes,1
FBgn0003053,peb,zf-C2H2,,yes,6
FBgn0035405,pfk,HTH_psq,,yes,6
FBgn0025334,PHDP,Homeobox,,yes,5
FBgn0002521,pho,zf-C2H2,,yes,5
FBgn0035997,phol,zf-C2H2,,yes,5
FBgn0034878,pita,zf-C2H2,,yes,6
FBgn0003117,pnr,GATA,,yes,1
FBgn0003118,pnt,Ets,,yes,1
FBgn0039227,polybromo,HMG_box,,yes,6
FBgn0003129,Poxm,PAX,,yes,6
FBgn0003130,Poxn,PAX,,yes,6
FBgn0023489,Pph13,Homeobox,,yes,1
FBgn0003145,prd,Homeobox|PAX,,yes,1
FBgn0004595,pros,Prox1,,yes,1
FBgn0004399,psq,HTH_psq,,yes,5
FBgn0020912,Ptx1,Homeobox,,yes,1
FBgn0259785,pzg,zf-C2H2,,yes,6
FBgn0038128,Ravus,BESS,,yes,6
FBgn0014018,Rel,RHD|TIG,,yes,4
FBgn0011701,repo,Homeobox,,yes,1
FBgn0004795,retn,ARID,,yes,5
FBgn0020379,Rfx,RFX_DNA_binding,,yes,5
FBgn0033310,rgr,zf-C2H2,,yes,6
FBgn0003254,rib,HTH_psq,,yes,6
FBgn0259172,rn,zf-C2H2,,yes,1
FBgn0003267,ro,Homeobox,,yes,5
FBgn0033998,row,AT_hook,,yes,6
FBgn0003300,run,Runt,,yes,4
FBgn0083981,RunxA,Runt,,yes,6
FBgn0259162,RunxB,Runt,,yes,6
FBgn0020617,Rx,Homeobox,,yes,5
FBgn0037672,sage,HLH,,yes,3
FBgn0004579,salm,zf-C2H2,,yes,6
FBgn0000287,salr,zf-C2H2,,yes,6
FBgn0004170,sc,HLH,,yes,1
FBgn0003339,Scr,Homeobox,,yes,1
FBgn0028993,scro,Homeobox,,yes,5
FBgn0004880,scrt,zf-C2H2,,yes,6
FBgn0003345,sd,TEA,,yes,1
FBgn0002573,sens,zf-C2H2,,yes,2
FBgn0051632,sens-2,zf-C2H2,,yes,6
FBgn0028991,seq,zf-C2H2,,yes,6
FBgn0030486,Set2,AT_hook,,yes,6
FBgn0003396,shn,zf-C2H2,,yes,1
FBgn0032741,Side,HLH,,yes,6
FBgn0004666,sim,HLH,,yes,2
FBgn0015542,sima,HLH,,yes,2
FBgn0003411,sisA,bZIP,,yes,6
FBgn0027364,Six4,Homeobox,,yes,5
FBgn0005638,slbo,bZIP,,yes,1
FBgn0002941,slou,Homeobox,,yes,1
FBgn0003430,slp1,Fork_head,,yes,5
FBgn0004567,slp2,Fork_head,,yes,1
FBgn0025800,Smox,MH1,,yes,6
FBgn0024308,Smr,Myb_DNA-binding,,yes,6
FBgn0003448,sna,zf-C2H2,,yes,1
FBgn0085450,Snoo,Ski_Sno,,NA,NA
FBgn0003460,so,Homeobox,,yes,1
FBgn0004892,sob,zf-C2H2,,yes,6
FBgn0024288,Sox100B,HMG_box,,yes,5
FBgn0039938,Sox102F,HMG_box,,yes,6
FBgn0005612,Sox14,HMG_box,,yes,5
FBgn0005613,Sox15,HMG_box,,yes,6
FBgn0036411,Sox21a,HMG_box,,yes,6
FBgn0042630,Sox21b,HMG_box,,yes,5
FBgn0029123,SoxN,HMG_box,,yes,1
FBgn0020378,Sp1,zf-C2H2,,yes,2
FBgn0010768,sqz,zf-C2H2,,yes,6
FBgn0003499,sr,zf-C2H2,,yes,6
FBgn0003507,srp,GATA,,yes,1
FBgn0003511,Sry-beta,zf-C2H2,,yes,1
FBgn0003512,Sry-delta,zf-C2H2,,yes,1
FBgn0003513,ss,HLH,,yes,1
FBgn0010278,Ssrp,HMG_box,,yes,6
FBgn0016917,Stat92E,STAT_bind,,yes,1
FBgn0001978,stc,zf-NF-X1,,yes,6
FBgn0003459,stwl,BESS,,yes,6
FBgn0004837,Su(H),TIG,,yes,1
FBgn0003567,su(Hw),zf-C2H2,,yes,1
FBgn0003612,Su(var)2-10,zf-MIZ,,yes,6
FBgn0026427,Su(var)2-HP2,AT_hook,,NA,NA
FBgn0003598,Su(var)3-7,BESS,,yes,5
FBgn0033782,sug,zf-C2H2,,yes,6
FBgn0005561,sv,PAX,,yes,2
FBgn0003651,svp,zf-C4,,yes,5
FBgn0010355,Taf1,AT_hook,,NA,NA
FBgn0041092,tai,HLH,,yes,3
FBgn0015550,tap,HLH,,yes,6
FBgn0003683,term,zf-C2H2,,NA,NA
FBgn0038805,TFAM,HMG_box,,yes,5
FBgn0015014,tgo,HLH,,yes,2
FBgn0026869,Thd1,AT_hook,,NA,NA
FBgn0004110,tin,Homeobox,,yes,1
FBgn0028979,tio,zf-C2H2,,yes,6
FBgn0000964,tj,bZIP_Maf,,yes,6
FBgn0003720,tll,zf-C4,,yes,1
FBgn0026160,tna,zf-MIZ,,yes,6
FBgn0036285,toe,Homeobox|PAX,,yes,6
FBgn0037751,topi,zf-C2H2,,yes,6
FBgn0019650,toy,Homeobox|PAX,,yes,1
FBgn0038767,trem,zf-C2H2,,yes,6
FBgn0003749,trh,HLH,,yes,2
FBgn0013263,Trl,GAGA,,yes,1
FBgn0003866,tsh,zf-C2H2,,yes,1
FBgn0003870,ttk,zf-C2H2,,yes,1
FBgn0003896,tup,Homeobox,,yes,1
FBgn0003900,twi,HLH,,yes,1
FBgn0003944,Ubx,Homeobox,,yes,5
FBgn0024184,unc-4,Homeobox,,yes,5
FBgn0015561,unpg,Homeobox,,yes,5
FBgn0029711,Usf,HLH,,yes,5
FBgn0003963,ush,zf-C2H2,,yes,4
FBgn0003964,usp,zf-C4,,yes,5
FBgn0259789,vfl,zf-C2H2,,yes,6
FBgn0033748,vis,Homeobox,,yes,5
FBgn0003986,vnd,Homeobox,,yes,1
FBgn0016076,vri,bZIP,,yes,1
FBgn0029775,Vsx1,Homeobox,,yes,5
FBgn0053980,Vsx2,Homeobox,,yes,5
FBgn0086680,vvl,Homeobox|Pou,,yes,1
FBgn0005642,wdn,zf-C2H2,,yes,6
FBgn0001990,wek,zf-C2H2,,yes,6
FBgn0010328,woc,AT_hook,,NA,NA
FBgn0001983,wor,zf-C2H2,,yes,6
FBgn0021872,Xbp1,bZIP,,yes,6
FBgn0261113,Xrp1,AT_hook,,yes,6
FBgn0032321,YL-1,YL1|YL1_C,,NA,NA
FBgn0004050,z,zeste,,yes,1
FBgn0004053,zen,Homeobox,,yes,1
FBgn0004054,zen2,Homeobox,,yes,5
FBgn0022720,zf30C,zf-C2H2,,yes,6
FBgn0004606,zfh1,Homeobox|zf-C2H2,,yes,2
FBgn0004607,zfh2,Homeobox|zf-C2H2,,yes,5
